names,links,category,filename
Imogen Cunningham,https://en.wikipedia.org/wiki/Imogen_Cunningham,List_of_20th-century_women_artists,./HTML/Women/Imogen_Cunningham.html
Sonia Delaunay,https://en.wikipedia.org/wiki/Sonia_Delaunay,List_of_20th-century_women_artists,./HTML/Women/Sonia_Delaunay.html
Marthe Donas,https://en.wikipedia.org/wiki/Marthe_Donas,List_of_20th-century_women_artists,./HTML/Women/Marthe_Donas.html
Aleksandra Ekster,https://en.wikipedia.org/wiki/Aleksandra_Ekster,List_of_20th-century_women_artists,./HTML/Women/Aleksandra_Ekster.html
Ester Ellqvist,https://en.wikipedia.org/wiki/Ester_Ellqvist,List_of_20th-century_women_artists,./HTML/Women/Ester_Ellqvist.html
Stella Elmendorf Tylor,https://en.wikipedia.org/wiki/Stella_Elmendorf_Tylor,List_of_20th-century_women_artists,./HTML/Women/Stella_Elmendorf_Tylor.html
Ethel Léontine Gabain,https://en.wikipedia.org/wiki/Ethel_L%C3%A9ontine_Gabain,List_of_20th-century_women_artists,./HTML/Women/Ethel_L%C3%A9ontine_Gabain.html
Laura Gardin Fraser,https://en.wikipedia.org/wiki/Laura_Gardin_Fraser,List_of_20th-century_women_artists,./HTML/Women/Laura_Gardin_Fraser.html
Natalia Goncharova,https://en.wikipedia.org/wiki/Natalia_Goncharova,List_of_20th-century_women_artists,./HTML/Women/Natalia_Goncharova.html
Norah Neilson Gray,https://en.wikipedia.org/wiki/Norah_Neilson_Gray,List_of_20th-century_women_artists,./HTML/Women/Norah_Neilson_Gray.html
Tina Haim-Wentscher,https://en.wikipedia.org/wiki/Tina_Haim-Wentscher,List_of_20th-century_women_artists,./HTML/Women/Tina_Haim-Wentscher.html
Lydia Bush-Brown Head,https://en.wikipedia.org/wiki/Lydia_Bush-Brown_Head,List_of_20th-century_women_artists,./HTML/Women/Lydia_Bush-Brown_Head.html
Sigrid Hjertén,https://en.wikipedia.org/wiki/Sigrid_Hjert%C3%A9n,List_of_20th-century_women_artists,./HTML/Women/Sigrid_Hjert%C3%A9n.html
Hannah Höch,https://en.wikipedia.org/wiki/Hannah_H%C3%B6ch,List_of_20th-century_women_artists,./HTML/Women/Hannah_H%C3%B6ch.html
Malvina Hoffman,https://en.wikipedia.org/wiki/Malvina_Hoffman,List_of_20th-century_women_artists,./HTML/Women/Malvina_Hoffman.html
Valentine Hugo,https://en.wikipedia.org/wiki/Valentine_Hugo,List_of_20th-century_women_artists,./HTML/Women/Valentine_Hugo.html
Daisy Marguerite Hughes,https://en.wikipedia.org/wiki/Daisy_Marguerite_Hughes,List_of_20th-century_women_artists,./HTML/Women/Daisy_Marguerite_Hughes.html
Dora Koch-Stetter,https://en.wikipedia.org/wiki/Dora_Koch-Stetter,List_of_20th-century_women_artists,./HTML/Women/Dora_Koch-Stetter.html
Marie Laurencin,https://en.wikipedia.org/wiki/Marie_Laurencin,List_of_20th-century_women_artists,./HTML/Women/Marie_Laurencin.html
Geneva Mercer,https://en.wikipedia.org/wiki/Geneva_Mercer,List_of_20th-century_women_artists,./HTML/Women/Geneva_Mercer.html
Ella Naper,https://en.wikipedia.org/wiki/Ella_Naper,List_of_20th-century_women_artists,./HTML/Women/Ella_Naper.html
Hilda Rix Nicholas,https://en.wikipedia.org/wiki/Hilda_Rix_Nicholas,List_of_20th-century_women_artists,./HTML/Women/Hilda_Rix_Nicholas.html
Georgia O'Keeffe,https://en.wikipedia.org/wiki/Georgia_O%27Keeffe,List_of_20th-century_women_artists,./HTML/Women/Georgia_O%27Keeffe.html
Olga Oppenheimer,https://en.wikipedia.org/wiki/Olga_Oppenheimer,List_of_20th-century_women_artists,./HTML/Women/Olga_Oppenheimer.html
Clara Elsene Peck,https://en.wikipedia.org/wiki/Clara_Elsene_Peck,List_of_20th-century_women_artists,./HTML/Women/Clara_Elsene_Peck.html
Gladys Reynell,https://en.wikipedia.org/wiki/Gladys_Reynell,List_of_20th-century_women_artists,./HTML/Women/Gladys_Reynell.html
Anne Ryan,https://en.wikipedia.org/wiki/Anne_Ryan,List_of_20th-century_women_artists,./HTML/Women/Anne_Ryan.html
Zinaida Serebriakova,https://en.wikipedia.org/wiki/Zinaida_Serebriakova,List_of_20th-century_women_artists,./HTML/Women/Zinaida_Serebriakova.html
Henrietta Shore,https://en.wikipedia.org/wiki/Henrietta_Shore,List_of_20th-century_women_artists,./HTML/Women/Henrietta_Shore.html
Zulma Steele,https://en.wikipedia.org/wiki/Zulma_Steele,List_of_20th-century_women_artists,./HTML/Women/Zulma_Steele.html
Sophie Taeuber-Arp,https://en.wikipedia.org/wiki/Sophie_Taeuber-Arp,List_of_20th-century_women_artists,./HTML/Women/Sophie_Taeuber-Arp.html
Lucy Telles,https://en.wikipedia.org/wiki/Lucy_Telles,List_of_20th-century_women_artists,./HTML/Women/Lucy_Telles.html
Nadezhda Udaltsova,https://en.wikipedia.org/wiki/Nadezhda_Udaltsova,List_of_20th-century_women_artists,./HTML/Women/Nadezhda_Udaltsova.html
Doris Ulmann,https://en.wikipedia.org/wiki/Doris_Ulmann,List_of_20th-century_women_artists,./HTML/Women/Doris_Ulmann.html
Laura Wheeler Waring,https://en.wikipedia.org/wiki/Laura_Wheeler_Waring,List_of_20th-century_women_artists,./HTML/Women/Laura_Wheeler_Waring.html
Carla Witte,https://en.wikipedia.org/wiki/Carla_Witte,List_of_20th-century_women_artists,./HTML/Women/Carla_Witte.html
Marta Worringer,https://en.wikipedia.org/wiki/Marta_Worringer,List_of_20th-century_women_artists,./HTML/Women/Marta_Worringer.html
Mary Agnes Yerkes,https://en.wikipedia.org/wiki/Mary_Agnes_Yerkes,List_of_20th-century_women_artists,./HTML/Women/Mary_Agnes_Yerkes.html
Marguerite Zorach,https://en.wikipedia.org/wiki/Marguerite_Zorach,List_of_20th-century_women_artists,./HTML/Women/Marguerite_Zorach.html
Karimeh Abbud,https://en.wikipedia.org/wiki/Karimeh_Abbud,List_of_20th-century_women_artists,./HTML/Women/Karimeh_Abbud.html
Elsie Allen,https://en.wikipedia.org/wiki/Elsie_Allen,List_of_20th-century_women_artists,./HTML/Women/Elsie_Allen.html
Mabel Alvarez,https://en.wikipedia.org/wiki/Mabel_Alvarez,List_of_20th-century_women_artists,./HTML/Women/Mabel_Alvarez.html
Peggy Bacon,https://en.wikipedia.org/wiki/Peggy_Bacon,List_of_20th-century_women_artists,./HTML/Women/Peggy_Bacon.html
Carrie Bethel,https://en.wikipedia.org/wiki/Carrie_Bethel,List_of_20th-century_women_artists,./HTML/Women/Carrie_Bethel.html
Dorrit Black,https://en.wikipedia.org/wiki/Dorrit_Black,List_of_20th-century_women_artists,./HTML/Women/Dorrit_Black.html
Lucile Blanch,https://en.wikipedia.org/wiki/Lucile_Blanch,List_of_20th-century_women_artists,./HTML/Women/Lucile_Blanch.html
Elise Blumann,https://en.wikipedia.org/wiki/Elise_Blumann,List_of_20th-century_women_artists,./HTML/Women/Elise_Blumann.html
Claude Cahun,https://en.wikipedia.org/wiki/Claude_Cahun,List_of_20th-century_women_artists,./HTML/Women/Claude_Cahun.html
Dora Carrington,https://en.wikipedia.org/wiki/Dora_Carrington,List_of_20th-century_women_artists,./HTML/Women/Dora_Carrington.html
Dorothy Coke,https://en.wikipedia.org/wiki/Dorothy_Coke,List_of_20th-century_women_artists,./HTML/Women/Dorothy_Coke.html
Trena Cox,https://en.wikipedia.org/wiki/Trena_Cox,List_of_20th-century_women_artists,./HTML/Women/Trena_Cox.html
Grace Crowley,https://en.wikipedia.org/wiki/Grace_Crowley,List_of_20th-century_women_artists,./HTML/Women/Grace_Crowley.html
Louise Dahl-Wolfe,https://en.wikipedia.org/wiki/Louise_Dahl-Wolfe,List_of_20th-century_women_artists,./HTML/Women/Louise_Dahl-Wolfe.html
Florence Davidson,https://en.wikipedia.org/wiki/Florence_Davidson,List_of_20th-century_women_artists,./HTML/Women/Florence_Davidson.html
Helen Katharine Forbes,https://en.wikipedia.org/wiki/Helen_Katharine_Forbes,List_of_20th-century_women_artists,./HTML/Women/Helen_Katharine_Forbes.html
Enid Foster,https://en.wikipedia.org/wiki/Enid_Foster,List_of_20th-century_women_artists,./HTML/Women/Enid_Foster.html
Elsa Fraenkel,https://en.wikipedia.org/wiki/Elsa_Fraenkel,List_of_20th-century_women_artists,./HTML/Women/Elsa_Fraenkel.html
Alethea Garstin,https://en.wikipedia.org/wiki/Alethea_Garstin,List_of_20th-century_women_artists,./HTML/Women/Alethea_Garstin.html
Laura Gilpin,https://en.wikipedia.org/wiki/Laura_Gilpin,List_of_20th-century_women_artists,./HTML/Women/Laura_Gilpin.html
Minetta Good,https://en.wikipedia.org/wiki/Minetta_Good,List_of_20th-century_women_artists,./HTML/Women/Minetta_Good.html
Jennie Harbour,https://en.wikipedia.org/wiki/Jennie_Harbour,List_of_20th-century_women_artists,./HTML/Women/Jennie_Harbour.html
Jeanne Hébuterne,https://en.wikipedia.org/wiki/Jeanne_H%C3%A9buterne,List_of_20th-century_women_artists,./HTML/Women/Jeanne_H%C3%A9buterne.html
Margaret Calkin James,https://en.wikipedia.org/wiki/Margaret_Calkin_James,List_of_20th-century_women_artists,./HTML/Women/Margaret_Calkin_James.html
Lotte Jacobi,https://en.wikipedia.org/wiki/Lotte_Jacobi,List_of_20th-century_women_artists,./HTML/Women/Lotte_Jacobi.html
Alison Mason Kingsbury,https://en.wikipedia.org/wiki/Alison_Mason_Kingsbury,List_of_20th-century_women_artists,./HTML/Women/Alison_Mason_Kingsbury.html
Georgina Klitgard,https://en.wikipedia.org/wiki/Georgina_Klitgard,List_of_20th-century_women_artists,./HTML/Women/Georgina_Klitgard.html
