names,links,category,profile_path
Laxmi Agarwal,https://en.wikipedia.org/wiki/Laxmi_Agarwal,no file,./Women_Profiles/Laxmi_Agarwal
Mary Wollstonecraft,https://en.wikipedia.org/wiki/Mary_Wollstonecraft,no file,./Women_Profiles/Mary_Wollstonecraft
Helen Bamber,https://en.wikipedia.org/wiki/Helen_Bamber,no file,./Women_Profiles/Helen_Bamber
Kathryn Bigelow,https://en.wikipedia.org/wiki/Kathryn_Bigelow,no file,./Women_Profiles/Kathryn_Bigelow
Roseanne Barr,https://en.wikipedia.org/wiki/Roseanne_Barr,no file,./Women_Profiles/Roseanne_Barr
Sarah Michelle Gellar,https://en.wikipedia.org/wiki/Sarah_Michelle_Gellar,no file,./Women_Profiles/Sarah_Michelle_Gellar
Mia Hamm,https://en.wikipedia.org/wiki/Mia_Hamm,no file,./Women_Profiles/Mia_Hamm
Mae West,https://en.wikipedia.org/wiki/Mae_West,no file,./Women_Profiles/Mae_West
Sampat Pal Devi,https://en.wikipedia.org/wiki/Sampat_Pal_Devi,no file,./Women_Profiles/Sampat_Pal_Devi
Angela Merkel,https://en.wikipedia.org/wiki/Angela_Merkel,no file,./Women_Profiles/Angela_Merkel
Britney Spears,https://en.wikipedia.org/wiki/Britney_Spears,no file,./Women_Profiles/Britney_Spears
Emily Dickinson,https://en.wikipedia.org/wiki/Emily_Dickinson,no file,./Women_Profiles/Emily_Dickinson
Iyanla Vanzant,https://en.wikipedia.org/wiki/Iyanla_Vanzant,no file,./Women_Profiles/Iyanla_Vanzant
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,no file,./Women_Profiles/Judi_Dench
Anne Lamott,https://en.wikipedia.org/wiki/Anne_Lamott,no file,./Women_Profiles/Anne_Lamott
Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes,no file,./Women_Profiles/Shonda_Rhimes
Marsha Evans,https://en.wikipedia.org/wiki/Marsha_J._Evans,no file,./Women_Profiles/Marsha_Evans
Zaha Hadid,https://en.wikipedia.org/wiki/Zaha_Hadid,no file,./Women_Profiles/Zaha_Hadid
Joan Rivers,https://en.wikipedia.org/wiki/Joan_Rivers,no file,./Women_Profiles/Joan_Rivers
Annie Leibovitz,https://en.wikipedia.org/wiki/Annie_Leibovitz,no file,./Women_Profiles/Annie_Leibovitz
Alice Walker,https://en.wikipedia.org/wiki/Alice_Walker,no file,./Women_Profiles/Alice_Walker
Graça Machel,https://en.wikipedia.org/wiki/Gra%C3%A7a_Machel,no file,./Women_Profiles/Graça_Machel
Gabby Douglas,https://en.wikipedia.org/wiki/Gabby_Douglas,no file,./Women_Profiles/Gabby_Douglas
Emmeline Pankhurst,https://en.wikipedia.org/wiki/Emmeline_Pankhurst,no file,./Women_Profiles/Emmeline_Pankhurst
Elizabeth Garrett Anderson,https://en.wikipedia.org/wiki/Elizabeth_Garrett_Anderson,no file,./Women_Profiles/Elizabeth_Garrett_Anderson
Meg Whitman,https://en.wikipedia.org/wiki/Meg_Whitman,no file,./Women_Profiles/Meg_Whitman
Arianna Huffington,https://en.wikipedia.org/wiki/Arianna_Huffington,no file,./Women_Profiles/Arianna_Huffington
